pay_period_start,employee_id,employee_name,location,role,employment_type,hourly_rate,hours_biweekly,gross_pay,cpp_withheld,ei_withheld,income_tax_withheld,employee_benefits,net_pay,dataset
2022-10-10,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,76.28,2096.94,109.04,33.55,251.63,41.94,1660.78,bookstore_payroll
2022-10-24,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,72.52,1993.57,103.67,31.9,239.23,39.87,1578.9,bookstore_payroll
2022-11-07,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,72.37,1989.45,103.45,31.83,238.73,39.79,1575.65,bookstore_payroll
2022-11-21,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,67.24,1848.43,96.12,29.57,221.81,36.97,1463.96,bookstore_payroll
2022-12-05,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,75.37,2071.92,107.74,33.15,248.63,41.44,1640.96,bookstore_payroll
2022-12-19,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,80.63,2216.52,115.26,35.46,265.98,44.33,1755.49,bookstore_payroll
2023-01-02,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,69.79,1918.53,99.76,30.7,230.22,38.37,1519.48,bookstore_payroll
2023-01-16,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,71.01,1952.06,101.51,31.23,234.25,39.04,1546.03,bookstore_payroll
2023-01-30,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,90.0,2474.1,128.65,39.59,296.89,49.48,1959.49,bookstore_payroll
2023-02-13,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,69.99,1924.03,100.05,30.78,230.88,38.48,1523.84,bookstore_payroll
2023-02-27,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,72.67,1997.7,103.88,31.96,239.72,39.95,1582.19,bookstore_payroll
2023-03-13,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,84.3,2317.41,120.51,37.08,278.09,46.35,1835.38,bookstore_payroll
2023-03-27,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,84.48,2322.36,120.76,37.16,278.68,46.45,1839.31,bookstore_payroll
2023-04-10,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,61.43,1688.71,87.81,27.02,202.65,33.77,1337.46,bookstore_payroll
2023-04-24,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,80.59,2215.42,115.2,35.45,265.85,44.31,1754.61,bookstore_payroll
2023-05-08,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,74.83,2057.08,106.97,32.91,246.85,41.14,1629.21,bookstore_payroll
2023-05-22,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,75.1,2064.5,107.35,33.03,247.74,41.29,1635.09,bookstore_payroll
2023-06-05,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,82.99,2281.4,118.63,36.5,273.77,45.63,1806.87,bookstore_payroll
2023-06-19,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,73.91,2031.79,105.65,32.51,243.81,40.64,1609.18,bookstore_payroll
2023-07-03,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,72.93,2004.85,104.25,32.08,240.58,40.1,1587.84,bookstore_payroll
2023-07-17,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,74.07,2036.18,105.88,32.58,244.34,40.72,1612.66,bookstore_payroll
2023-07-31,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,73.91,2031.79,105.65,32.51,243.81,40.64,1609.18,bookstore_payroll
2023-08-14,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,78.08,2146.42,111.61,34.34,257.57,42.93,1699.97,bookstore_payroll
2023-08-28,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,83.94,2307.51,119.99,36.92,276.9,46.15,1827.55,bookstore_payroll
2023-09-11,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,78.57,2159.89,112.31,34.56,259.19,43.2,1710.63,bookstore_payroll
2023-09-25,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,75.92,2087.04,108.53,33.39,250.44,41.74,1652.94,bookstore_payroll
2023-10-09,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,79.28,2179.41,113.33,34.87,261.53,43.59,1726.09,bookstore_payroll
2023-10-23,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,80.68,2217.89,115.33,35.49,266.15,44.36,1756.56,bookstore_payroll
2023-11-06,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,79.47,2184.63,113.6,34.95,262.16,43.69,1730.23,bookstore_payroll
2023-11-20,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,72.0,1979.28,102.92,31.67,237.51,39.59,1567.59,bookstore_payroll
2023-12-04,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,78.55,2159.34,112.29,34.55,259.12,43.19,1710.19,bookstore_payroll
2023-12-18,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,63.28,1739.57,90.46,27.83,208.75,34.79,1377.74,bookstore_payroll
2024-01-01,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,86.72,2383.93,123.96,38.14,286.07,47.68,1888.08,bookstore_payroll
2024-01-15,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,86.71,2383.66,123.95,38.14,286.04,47.67,1887.86,bookstore_payroll
2024-01-29,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,82.86,2277.82,118.45,36.45,273.34,45.56,1804.02,bookstore_payroll
2024-02-12,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,85.0,2336.65,121.51,37.39,280.4,46.73,1850.62,bookstore_payroll
2024-02-26,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,77.08,2118.93,110.18,33.9,254.27,42.38,1678.2,bookstore_payroll
2024-03-11,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,73.02,2007.32,104.38,32.12,240.88,40.15,1589.79,bookstore_payroll
2024-03-25,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,70.0,1924.3,100.06,30.79,230.92,38.49,1524.04,bookstore_payroll
2024-04-08,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,83.57,2297.34,119.46,36.76,275.68,45.95,1819.49,bookstore_payroll
2024-04-22,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,73.02,2007.32,104.38,32.12,240.88,40.15,1589.79,bookstore_payroll
2024-05-06,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,75.28,2069.45,107.61,33.11,248.33,41.39,1639.01,bookstore_payroll
2024-05-20,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,78.86,2167.86,112.73,34.69,260.14,43.36,1716.94,bookstore_payroll
2024-06-03,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,77.3,2124.98,110.5,34.0,255.0,42.5,1682.98,bookstore_payroll
2024-06-17,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,79.11,2174.73,113.09,34.8,260.97,43.49,1722.38,bookstore_payroll
2024-07-01,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,66.67,1832.76,95.3,29.32,219.93,36.66,1451.55,bookstore_payroll
2024-07-15,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,76.12,2092.54,108.81,33.48,251.1,41.85,1657.3,bookstore_payroll
2024-07-29,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,82.46,2266.83,117.88,36.27,272.02,45.34,1795.32,bookstore_payroll
2024-08-12,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,74.93,2059.83,107.11,32.96,247.18,41.2,1631.38,bookstore_payroll
2024-08-26,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,72.35,1988.9,103.42,31.82,238.67,39.78,1575.21,bookstore_payroll
2024-09-09,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,83.25,2288.54,119.0,36.62,274.62,45.77,1812.53,bookstore_payroll
2024-09-23,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,74.97,2060.93,107.17,32.97,247.31,41.22,1632.26,bookstore_payroll
2024-10-07,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,78.63,2161.54,112.4,34.58,259.38,43.23,1711.95,bookstore_payroll
2024-10-21,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,76.26,2096.39,109.01,33.54,251.57,41.93,1660.34,bookstore_payroll
2024-11-04,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,77.52,2131.02,110.81,34.1,255.72,42.62,1687.77,bookstore_payroll
2024-11-18,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,86.7,2383.38,123.94,38.13,286.01,47.67,1887.63,bookstore_payroll
2024-12-02,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,80.95,2225.32,115.72,35.61,267.04,44.51,1762.44,bookstore_payroll
2024-12-16,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,70.19,1929.52,100.34,30.87,231.54,38.59,1528.18,bookstore_payroll
2024-12-30,1001,Harper Brown,YYC-DT,Store Manager,PERM,27.49,75.29,2069.72,107.63,33.12,248.37,41.39,1639.21,bookstore_payroll
2022-01-03,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,69.72,1662.12,86.43,26.59,199.45,33.24,1316.41,bookstore_payroll
2022-01-17,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,73.5,1752.24,91.12,28.04,210.27,35.04,1387.77,bookstore_payroll
2022-01-31,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,77.65,1851.18,96.26,29.62,222.14,37.02,1466.14,bookstore_payroll
2022-02-14,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,72.39,1725.78,89.74,27.61,207.09,34.52,1366.82,bookstore_payroll
2022-02-28,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,72.21,1721.49,89.52,27.54,206.58,34.43,1363.42,bookstore_payroll
2022-03-14,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,58.81,1402.03,72.91,22.43,168.24,28.04,1110.41,bookstore_payroll
2022-03-28,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,80.14,1910.54,99.35,30.57,229.26,38.21,1513.15,bookstore_payroll
2022-04-11,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,71.19,1697.17,88.25,27.15,203.66,33.94,1344.17,bookstore_payroll
2022-04-25,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,73.75,1758.2,91.43,28.13,210.98,35.16,1392.5,bookstore_payroll
2022-05-09,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,73.74,1757.96,91.41,28.13,210.96,35.16,1392.3,bookstore_payroll
2022-05-23,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,67.58,1611.11,83.78,25.78,193.33,32.22,1276.0,bookstore_payroll
2022-06-06,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,70.74,1686.44,87.69,26.98,202.37,33.73,1335.67,bookstore_payroll
2022-06-20,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,67.54,1610.15,83.73,25.76,193.22,32.2,1275.24,bookstore_payroll
2022-07-04,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,80.5,1919.12,99.79,30.71,230.29,38.38,1519.95,bookstore_payroll
2022-07-18,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,58.86,1403.22,72.97,22.45,168.39,28.06,1111.35,bookstore_payroll
2022-08-01,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,66.48,1584.88,82.41,25.36,190.19,31.7,1255.22,bookstore_payroll
2022-08-15,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,70.27,1675.24,87.11,26.8,201.03,33.5,1326.8,bookstore_payroll
2022-08-29,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,81.18,1935.33,100.64,30.97,232.24,38.71,1532.77,bookstore_payroll
2022-09-12,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,76.45,1822.57,94.77,29.16,218.71,36.45,1443.48,bookstore_payroll
2022-09-26,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,62.37,1486.9,77.32,23.79,178.43,29.74,1177.62,bookstore_payroll
2022-10-10,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,71.51,1704.8,88.65,27.28,204.58,34.1,1350.19,bookstore_payroll
2022-10-24,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,76.53,1824.48,94.87,29.19,218.94,36.49,1444.99,bookstore_payroll
2022-11-07,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,85.56,2039.75,106.07,32.64,244.77,40.8,1615.47,bookstore_payroll
2022-11-21,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,70.16,1672.61,86.98,26.76,200.71,33.45,1324.71,bookstore_payroll
2022-12-05,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,65.09,1551.75,80.69,24.83,186.21,31.04,1228.98,bookstore_payroll
2022-12-19,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,74.13,1767.26,91.9,28.28,212.07,35.35,1399.66,bookstore_payroll
2023-01-02,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,75.74,1805.64,93.89,28.89,216.68,36.11,1430.07,bookstore_payroll
2023-01-16,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,78.78,1878.12,97.66,30.05,225.37,37.56,1487.48,bookstore_payroll
2023-01-30,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,80.14,1910.54,99.35,30.57,229.26,38.21,1513.15,bookstore_payroll
2023-02-13,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,77.92,1857.61,96.6,29.72,222.91,37.15,1471.23,bookstore_payroll
2023-02-27,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,79.17,1887.41,98.15,30.2,226.49,37.75,1494.82,bookstore_payroll
2023-03-13,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,85.81,2045.71,106.38,32.73,245.49,40.91,1620.2,bookstore_payroll
2023-03-27,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,74.25,1770.12,92.05,28.32,212.41,35.4,1401.94,bookstore_payroll
2023-04-10,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,68.65,1636.62,85.1,26.19,196.39,32.73,1296.21,bookstore_payroll
2023-04-24,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,77.88,1856.66,96.55,29.71,222.8,37.13,1470.47,bookstore_payroll
2023-05-08,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,68.31,1628.51,84.68,26.06,195.42,32.57,1289.78,bookstore_payroll
2023-05-22,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,69.27,1651.4,85.87,26.42,198.17,33.03,1307.91,bookstore_payroll
2023-06-05,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,71.07,1694.31,88.1,27.11,203.32,33.89,1341.89,bookstore_payroll
2023-06-19,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,68.5,1633.04,84.92,26.13,195.96,32.66,1293.37,bookstore_payroll
2023-07-03,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,83.01,1978.96,102.91,31.66,237.48,39.58,1567.33,bookstore_payroll
2023-07-17,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,76.29,1818.75,94.57,29.1,218.25,36.38,1440.45,bookstore_payroll
2023-07-31,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,80.24,1912.92,99.47,30.61,229.55,38.26,1515.03,bookstore_payroll
2023-08-14,1002,Alex Foster,YYC-DT,Assistant Manager,PERM,23.84,79.06,1884.79,98.01,30.16,226.17,37.7,1492.75,bookstore_payroll
